Salary,ExperienceYears,,,,,,,
1156920,7,,,,,,,
536665,20,,,,,,,
1167707,1,,,,,,,
377268,0,,,,,,,
950937,12,,,,,,,
498610,6,,,,,,,
1256112,5,,,,,,,
1789852,7,,,,,,,
317986,4,,,,,,,
611881,36,,,,,,,
318168,9,,,,,,,
722831,1,,,,,,,
1063555,0,,,,,,,
1151108,9,,,,,,,
1551776,1,,,,,,,
1703464,9,,,,,,,
1548768,18,,,,,,,
1167253,23,,,,,,,
1195932,0,,,,,,,
1477741,10,,,,,,,
509856,24,,,,,,,
825436,16,,,,,,,
1252023,28,,,,,,,
470120,3,,,,,,,
919735,2,,,,,,,
312210,6,,,,,,,
594451,0,,,,,,,
1703708,1,,,,,,,
556246,0,,,,,,,
659447,4,,,,,,,
1516555,4,,,,,,,
261547,22,,,,,,,
1606135,2,,,,,,,
967251,1,,,,,,,
1043354,18,,,,,,,
1046049,8,,,,,,,
1070595,14,,,,,,,
276224,2,,,,,,,
576204,8,,,,,,,
608524,24,,,,,,,
913456,0,,,,,,,
1065353,4,,,,,,,
264263,16,,,,,,,
1745251,3,,,,,,,
944285,17,,,,,,,
1271826,5,,,,,,,
565017,9,,,,,,,
1109241,20,,,,,,,
1519538,0,,,,,,,
1324210,3,,,,,,,
695019,3,,,,,,,
376426,8,,,,,,,
1579902,8,,,,,,,
1792513,11,,,,,,,
1635885,17,,,,,,,
451367,9,,,,,,,
1555500,1,,,,,,,
1337378,33,,,,,,,
1424598,0,,,,,,,
348789,0,,,,,,,
835039,0,,,,,,,
1296744,10,,,,,,,
749672,1,,,,,,,
1440623,8,,,,,,,
1076491,9,,,,,,,
1720795,6,,,,,,,
1345282,3,,,,,,,
1718258,8,,,,,,,
1239139,20,,,,,,,
913403,4,,,,,,,
337792,6,,,,,,,
1117954,13,,,,,,,
1616397,8,,,,,,,
1046489,13,,,,,,,
583453,19,,,,,,,
277000,14,,,,,,,
1215531,15,,,,,,,
578814,15,,,,,,,
1606317,24,,,,,,,
1012535,6,,,,,,,
580168,15,,,,,,,
1565865,19,,,,,,,
945772,30,,,,,,,
872701,3,,,,,,,
1284284,22,,,,,,,
948214,17,,,,,,,
879582,4,,,,,,,
710962,23,,,,,,,
1134411,6,,,,,,,
325314,7,,,,,,,
333485,0,,,,,,,
1062238,2,,,,,,,
318501,0,,,,,,,
779718,34,,,,,,,
419393,7,,,,,,,
744046,4,,,,,,,
755725,5,,,,,,,
1170650,3,,,,,,,
1746476,14,,,,,,,
476905,15,,,,,,,
817345,11,,,,,,,
944903,0,,,,,,,
1640528,20,,,,,,,
666669,5,,,,,,,
688462,0,,,,,,,
829128,19,,,,,,,
1697016,22,,,,,,,
1567967,18,,,,,,,
1181979,12,,,,,,,
1385751,8,,,,,,,
762240,14,,,,,,,
610780,21,,,,,,,
1035923,12,,,,,,,
926334,2,,,,,,,
1273867,18,,,,,,,
1095989,19,,,,,,,
1380970,11,,,,,,,
1343618,7,,,,,,,
1153888,5,,,,,,,
1052645,15,,,,,,,
358318,13,,,,,,,
777068,18,,,,,,,
1786017,8,,,,,,,
1541307,1,,,,,,,
1719345,7,,,,,,,
253033,0,,,,,,,
251221,15,,,,,,,
1256291,1,,,,,,,
477789,11,,,,,,,
1350620,6,,,,,,,
361431,2,,,,,,,
918092,4,,,,,,,
976726,25,,,,,,,
1466846,2,,,,,,,
1268072,15,,,,,,,
756831,3,,,,,,,
1594014,2,,,,,,,
1095724,2,,,,,,,
1209171,9,,,,,,,
559697,14,,,,,,,
1261026,3,,,,,,,
1668466,4,,,,,,,
383045,9,,,,,,,
469972,3,,,,,,,
356815,3,,,,,,,
312546,0,,,,,,,
397700,14,,,,,,,
1645186,20,,,,,,,
1645946,13,,,,,,,
895974,5,,,,,,,
1068161,14,,,,,,,
1434439,11,,,,,,,
1086293,5,,,,,,,
967908,19,,,,,,,
381906,14,,,,,,,
314212,27,,,,,,,
1207314,9,,,,,,,
